xi,theta,dtheta_dxi,rho_over_rhoc,dimensionless_mass
1.720439677419354885e+00,7.094808518673824116e-01,-2.048048474387975659e-01,1.797642776810966514e-01,6.062044656048092284e-01
1.730442175543885908e+00,7.074352180289055214e-01,-2.042188686235154593e-01,1.771876229074965670e-01,6.115191318710281321e-01
1.740444673668417153e+00,7.053954712932041238e-01,-2.036277529838405320e-01,1.746478870010829132e-01,6.168185318898322667e-01
1.750447171792948176e+00,7.033616620859580726e-01,-2.030316909506044154e-01,1.721446235774358735e-01,6.221023592934101787e-01
1.760449669917479421e+00,7.013338389460389566e-01,-2.024308693661543146e-01,1.696773876971612027e-01,6.273703171753132191e-01
1.770452168042010443e+00,6.993120485612224213e-01,-2.018254715204606253e-01,1.672457360438665830e-01,6.326221179509969872e-01
1.780454666166541688e+00,6.972963358035384474e-01,-2.012156771879626549e-01,1.648492270934193427e-01,6.378574832176305831e-01
1.790457164291072711e+00,6.952867437642515913e-01,-2.006016626650964640e-01,1.624874212747385305e-01,6.430761436133234366e-01
1.800459662415603956e+00,6.932833137884618635e-01,-1.999836008084463213e-01,1.601598811223696461e-01,6.482778386759119327e-01
1.810462160540134979e+00,6.912860855093165835e-01,-1.993616610734634809e-01,1.578661714210859990e-01,6.534623167014317335e-01
1.820464658664666224e+00,6.892950968818239987e-01,-1.987360095536941373e-01,1.556058593427574743e-01,6.586293346023920359e-01
1.830467156789197247e+00,6.873103842162822108e-01,-1.981068090204620713e-01,1.533785145757486090e-01,6.637786577659587905e-01
1.840469654913728492e+00,6.853319822113325133e-01,-1.974742189629686562e-01,1.511837094470973586e-01,6.689100599122042023e-01
1.850472153038259515e+00,6.833599239865674191e-01,-1.968383956287533265e-01,1.490210190376330956e-01,6.740233229525012248e-01
1.860474651162790760e+00,6.813942411147563272e-01,-1.961994920644703211e-01,1.468900212903385960e-01,6.791182368481722964e-01
1.870477149287321783e+00,6.794349636536561876e-01,-1.955576581569367922e-01,1.447902971121465820e-01,6.841945994694887956e-01
1.880479647411853028e+00,6.774821201774116064e-01,-1.949130406744088995e-01,1.427214304693994462e-01,6.892522164551090347e-01
1.890482145536384051e+00,6.755357378075431685e-01,-1.942657833080486396e-01,1.406830084771885647e-01,6.942909010720551555e-01
1.900484643660915296e+00,6.735958422435180948e-01,-1.936160267135426105e-01,1.386746214827809520e-01,6.993104740763137483e-01
1.910487141785446319e+00,6.716624577929038997e-01,-1.929639085528352671e-01,1.366958631433425053e-01,7.043107635741350236e-01
1.920489639909977342e+00,6.697356074011006077e-01,-1.923095635359380051e-01,1.347463304981569299e-01,7.092916048840989252e-01
1.930492138034508587e+00,6.678153126806570805e-01,-1.916531234627796287e-01,1.328256240355451812e-01,7.142528404000099140e-01
1.940494636159039610e+00,6.659015939401782269e-01,-1.909947172650760250e-01,1.309333477546861524e-01,7.191943194547272267e-01
1.950497134283570855e+00,6.639944702127985598e-01,-1.903344710481773283e-01,1.290691092225023928e-01,7.241158981849536991e-01
1.960499632408101878e+00,6.620939592842449706e-01,-1.896725081328697604e-01,1.272325196258193847e-01,7.290174393970605404e-01
1.970502130532633123e+00,6.602000777204810600e-01,-1.890089490971012254e-01,1.254231938189691031e-01,7.338988124339983488e-01
